nombre,poblacion,superficie,continente
Argentina,45376763,2780400,América
Brasil,213993437,8515767,América
Chile,19458310,756102,América
Colombia,51265844,1141748,América
México,128932753,1964375,América
Perú,33359418,1285216,América
Estados Unidos,331002651,9833517,América
Canadá,38005238,9984670,América
Venezuela,28435940,912050,América
Ecuador,17643054,283561,América
Alemania,83149300,357022,Europa
Francia,67391582,643801,Europa
Italia,59554023,301340,Europa
España,47351567,505990,Europa
Polonia,38036118,312696,Europa
Rumania,19286123,238397,Europa
Países Bajos,17441139,41850,Europa
Bélgica,11555997,30528,Europa
Grecia,10715549,131990,Europa
Portugal,10305564,92090,Europa
China,1439323776,9596961,Asia
India,1380004385,3287263,Asia
Japón,125800000,377975,Asia
Corea del Sur,51780579,100210,Asia
Tailandia,69799978,513120,Asia
Vietnam,97338579,331212,Asia
Filipinas,109581078,300000,Asia
Turquía,84339067,783562,Asia
Irán,83992949,1648195,Asia
Irak,40222493,438317,Asia
Egipto,102334404,1002450,África
Nigeria,206139589,923768,África
Etiopía,114963588,1104300,África
Sudáfrica,59308690,1221037,África
Tanzania,59734218,945087,África
Kenia,53771296,580367,África
Uganda,45741007,241038,África
Argelia,43851044,2381741,África
Sudán,43849260,1886068,África
Marruecos,36910560,446550,África
Australia,25687041,7692024,Oceanía
Nueva Zelanda,5084300,268021,Oceanía
Papúa Nueva Guinea,8947024,462840,Oceanía
Fiji,896445,18274,Oceanía
